duration(µs),method,variant,query,suite
9328,BinaryJoin,flatten,1,dev
8717,Yannakakis,flatten,1,dev
8745,BinaryJoin,flatten,1,dev
8993,Yannakakis,flatten,1,dev
8673,BinaryJoin,flatten,1,dev
8541,Yannakakis,flatten,1,dev
9010,BinaryJoin,flatten,1,dev
8385,Yannakakis,flatten,1,dev
8578,BinaryJoin,flatten,1,dev
8785,Yannakakis,flatten,1,dev
8678,BinaryJoin,flatten,1,dev
8519,Yannakakis,flatten,1,dev
9093,BinaryJoin,flatten,1,dev
8793,Yannakakis,flatten,1,dev
8525,BinaryJoin,flatten,1,dev
8780,Yannakakis,flatten,1,dev
8592,BinaryJoin,flatten,1,dev
9048,Yannakakis,flatten,1,dev
8777,BinaryJoin,flatten,1,dev
8788,Yannakakis,flatten,1,dev
794713,BinaryJoin,flatten,2,dev
118207,Yannakakis,flatten,2,dev
787581,BinaryJoin,flatten,2,dev
119027,Yannakakis,flatten,2,dev
787260,BinaryJoin,flatten,2,dev
118742,Yannakakis,flatten,2,dev
787266,BinaryJoin,flatten,2,dev
119065,Yannakakis,flatten,2,dev
786081,BinaryJoin,flatten,2,dev
118247,Yannakakis,flatten,2,dev
786043,BinaryJoin,flatten,2,dev
118563,Yannakakis,flatten,2,dev
785325,BinaryJoin,flatten,2,dev
118363,Yannakakis,flatten,2,dev
787097,BinaryJoin,flatten,2,dev
118568,Yannakakis,flatten,2,dev
787266,BinaryJoin,flatten,2,dev
119467,Yannakakis,flatten,2,dev
786439,BinaryJoin,flatten,2,dev
119109,Yannakakis,flatten,2,dev
5608,BinaryJoin,flatten,3,dev
4809,Yannakakis,flatten,3,dev
4251,BinaryJoin,flatten,3,dev
5233,Yannakakis,flatten,3,dev
4147,BinaryJoin,flatten,3,dev
4671,Yannakakis,flatten,3,dev
4134,BinaryJoin,flatten,3,dev
4826,Yannakakis,flatten,3,dev
4265,BinaryJoin,flatten,3,dev
4723,Yannakakis,flatten,3,dev
4144,BinaryJoin,flatten,3,dev
5228,Yannakakis,flatten,3,dev
4178,BinaryJoin,flatten,3,dev
4698,Yannakakis,flatten,3,dev
4109,BinaryJoin,flatten,3,dev
4940,Yannakakis,flatten,3,dev
4263,BinaryJoin,flatten,3,dev
4726,Yannakakis,flatten,3,dev
4135,BinaryJoin,flatten,3,dev
4801,Yannakakis,flatten,3,dev
12456,BinaryJoin,flatten,4,dev
9932,Yannakakis,flatten,4,dev
11965,BinaryJoin,flatten,4,dev
9923,Yannakakis,flatten,4,dev
11793,BinaryJoin,flatten,4,dev
9883,Yannakakis,flatten,4,dev
11528,BinaryJoin,flatten,4,dev
10019,Yannakakis,flatten,4,dev
12196,BinaryJoin,flatten,4,dev
10011,Yannakakis,flatten,4,dev
11840,BinaryJoin,flatten,4,dev
10185,Yannakakis,flatten,4,dev
12031,BinaryJoin,flatten,4,dev
10554,Yannakakis,flatten,4,dev
11470,BinaryJoin,flatten,4,dev
10418,Yannakakis,flatten,4,dev
12030,BinaryJoin,flatten,4,dev
10339,Yannakakis,flatten,4,dev
11314,BinaryJoin,flatten,4,dev
10920,Yannakakis,flatten,4,dev
18880,BinaryJoin,flatten,5,dev
15821,Yannakakis,flatten,5,dev
17788,BinaryJoin,flatten,5,dev
15707,Yannakakis,flatten,5,dev
18203,BinaryJoin,flatten,5,dev
15285,Yannakakis,flatten,5,dev
18199,BinaryJoin,flatten,5,dev
15359,Yannakakis,flatten,5,dev
17710,BinaryJoin,flatten,5,dev
15304,Yannakakis,flatten,5,dev
18642,BinaryJoin,flatten,5,dev
15243,Yannakakis,flatten,5,dev
17960,BinaryJoin,flatten,5,dev
16346,Yannakakis,flatten,5,dev
19577,BinaryJoin,flatten,5,dev
16196,Yannakakis,flatten,5,dev
18988,BinaryJoin,flatten,5,dev
16985,Yannakakis,flatten,5,dev
19723,BinaryJoin,flatten,5,dev
15977,Yannakakis,flatten,5,dev
21675,BinaryJoin,flatten,6,dev
19484,Yannakakis,flatten,6,dev
21821,BinaryJoin,flatten,6,dev
18581,Yannakakis,flatten,6,dev
21714,BinaryJoin,flatten,6,dev
18965,Yannakakis,flatten,6,dev
21802,BinaryJoin,flatten,6,dev
18502,Yannakakis,flatten,6,dev
21731,BinaryJoin,flatten,6,dev
18790,Yannakakis,flatten,6,dev
22184,BinaryJoin,flatten,6,dev
19375,Yannakakis,flatten,6,dev
22158,BinaryJoin,flatten,6,dev
18521,Yannakakis,flatten,6,dev
21532,BinaryJoin,flatten,6,dev
19242,Yannakakis,flatten,6,dev
22179,BinaryJoin,flatten,6,dev
18942,Yannakakis,flatten,6,dev
22549,BinaryJoin,flatten,6,dev
18383,Yannakakis,flatten,6,dev
621948,BinaryJoin,flatten,7,dev
567268,Yannakakis,flatten,7,dev
622676,BinaryJoin,flatten,7,dev
563867,Yannakakis,flatten,7,dev
625219,BinaryJoin,flatten,7,dev
565529,Yannakakis,flatten,7,dev
623935,BinaryJoin,flatten,7,dev
565043,Yannakakis,flatten,7,dev
622593,BinaryJoin,flatten,7,dev
565491,Yannakakis,flatten,7,dev
619467,BinaryJoin,flatten,7,dev
566024,Yannakakis,flatten,7,dev
623131,BinaryJoin,flatten,7,dev
567890,Yannakakis,flatten,7,dev
622994,BinaryJoin,flatten,7,dev
564447,Yannakakis,flatten,7,dev
620858,BinaryJoin,flatten,7,dev
562783,Yannakakis,flatten,7,dev
618703,BinaryJoin,flatten,7,dev
563090,Yannakakis,flatten,7,dev
461338,BinaryJoin,flatten,8,dev
453502,Yannakakis,flatten,8,dev
460689,BinaryJoin,flatten,8,dev
454056,Yannakakis,flatten,8,dev
465884,BinaryJoin,flatten,8,dev
454866,Yannakakis,flatten,8,dev
464174,BinaryJoin,flatten,8,dev
457259,Yannakakis,flatten,8,dev
463841,BinaryJoin,flatten,8,dev
452731,Yannakakis,flatten,8,dev
462661,BinaryJoin,flatten,8,dev
453529,Yannakakis,flatten,8,dev
462093,BinaryJoin,flatten,8,dev
454059,Yannakakis,flatten,8,dev
462329,BinaryJoin,flatten,8,dev
452882,Yannakakis,flatten,8,dev
465920,BinaryJoin,flatten,8,dev
466955,Yannakakis,flatten,8,dev
474450,BinaryJoin,flatten,8,dev
455648,Yannakakis,flatten,8,dev
686983,BinaryJoin,flatten,9,dev
684424,Yannakakis,flatten,9,dev
687246,BinaryJoin,flatten,9,dev
690255,Yannakakis,flatten,9,dev
685610,BinaryJoin,flatten,9,dev
686712,Yannakakis,flatten,9,dev
686255,BinaryJoin,flatten,9,dev
685601,Yannakakis,flatten,9,dev
685998,BinaryJoin,flatten,9,dev
685984,Yannakakis,flatten,9,dev
685872,BinaryJoin,flatten,9,dev
684900,Yannakakis,flatten,9,dev
685937,BinaryJoin,flatten,9,dev
686993,Yannakakis,flatten,9,dev
686690,BinaryJoin,flatten,9,dev
683969,Yannakakis,flatten,9,dev
687666,BinaryJoin,flatten,9,dev
686108,Yannakakis,flatten,9,dev
686248,BinaryJoin,flatten,9,dev
686300,Yannakakis,flatten,9,dev
285204,BinaryJoin,flatten,10,dev
372435,Yannakakis,flatten,10,dev
286963,BinaryJoin,flatten,10,dev
373957,Yannakakis,flatten,10,dev
284731,BinaryJoin,flatten,10,dev
373539,Yannakakis,flatten,10,dev
285566,BinaryJoin,flatten,10,dev
